1459012046.579000, /muse/acc, -218.75034, 964.8453, 136.71896
1459012046.647000, /muse/elements/alpha_session_score, 0.26666668, 0.5365854, 0.0, 0.53333336
1459012046.647000, /muse/elements/beta_session_score, 0.020408163, 0.6, 0.3809524, 0.06896552
1459012046.647000, /muse/elements/delta_session_score, 0.2777778, 0.72602737, 0.28695652, 0.23966943
1459012046.647000, /muse/elements/gamma_session_score, 0.26086956, 0.9459459, 0.68292683, 0.10869565
1459012046.647000, /muse/elements/theta_session_score, 0.0, 0.29411766, 0.47540984, 0.2
1459012046.647000, /muse/eeg, 843.87494, 829.07007, 843.87494, 843.87494
1459012046.647000, /muse/eeg, 858.67975, 824.13513, 842.2299, 857.0347
1459012046.647000, /muse/eeg, 853.7448, 832.36005, 840.58496, 853.7448
1459012046.647000, /muse/eeg, 843.87494, 830.7151, 837.295, 832.36005
1459012046.647000, /muse/eeg, 845.5199, 817.55524, 838.94, 845.5199
1459012046.647000, /muse/eeg, 843.87494, 819.2002, 838.94, 848.8099
1459012046.647000, /muse/eeg, 850.45483, 824.13513, 837.295, 855.3898
1459012046.647000, /muse/eeg, 857.0347, 819.2002, 838.94, 850.45483
1459012046.647000, /muse/eeg, 840.58496, 817.55524, 837.295, 837.295
1459012046.656000, /muse/drlref, 1632258.1, 1645161.2
1459012046.656000, /muse/acc, -218.75034, 964.8453, 136.71896
1459012046.672000, /muse/acc, -218.75034, 968.7515, 136.71896
1459012046.690000, /muse/acc, -218.75034, 968.7515, 136.71896
1459012046.706000, /muse/acc, -218.75034, 968.7515, 136.71896
1459012046.728000, /muse/eeg, 840.58496, 817.55524, 840.58496, 824.13513
1459012046.728000, /muse/eeg/quantization, 1, 1, 1, 1
1459012046.728000, /muse/eeg, 847.16486, 820.8452, 837.295, 830.7151
1459012046.728000, /muse/eeg, 843.87494, 817.55524, 842.2299, 838.94
1459012046.728000, /muse/eeg, 843.87494, 819.2002, 843.87494, 835.65
1459012046.728000, /muse/eeg, 848.8099, 815.9103, 840.58496, 832.36005
1459012046.728000, /muse/eeg, 838.94, 822.4902, 838.94, 842.2299
1459012046.728000, /muse/eeg, 848.8099, 820.8452, 840.58496, 840.58496
1459012046.728000, /muse/eeg, 857.0347, 822.4902, 838.94, 827.4251
1459012046.728000, /muse/eeg, 866.90466, 827.4251, 842.2299, 832.36005
1459012046.728000, /muse/eeg, 875.1295, 822.4902, 840.58496, 837.295
1459012046.728000, /muse/eeg, 870.1946, 827.4251, 840.58496, 837.295
1459012046.728000, /muse/eeg, 852.0998, 827.4251, 842.2299, 852.0998
1459012046.728000, /muse/eeg, 845.5199, 827.4251, 840.58496, 853.7448
1459012046.728000, /muse/elements/alpha_relative, 0.5355058, 0.19696361, 0.16112019, 0.43356535
1459012046.728000, /muse/elements/beta_relative, 0.14650123, 0.16017215, 0.20387784, 0.2668373
1459012046.728000, /muse/elements/delta_relative, 0.12485191, 0.34346408, 0.26396516, 0.08376694
1459012046.728000, /muse/elements/gamma_relative, 0.11475471, 0.1826237, 0.15561141, 0.14639534
1459012046.728000, /muse/elements/theta_relative, 0.07838636, 0.116776444, 0.2154254, 0.06943508
1459012046.728000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1459012046.729000, /muse/elements/is_good, 1, 1, 1, 1
1459012046.729000, /muse/elements/blink, 0
1459012046.729000, /muse/elements/jaw_clench, 0
1459012046.729000, /muse/elements/touching_forehead, 1
1459012046.729000, /muse/elements/experimental/concentration, 0.0
1459012046.729000, /muse/elements/experimental/mellow, 0.26168972
1459012046.729000, /muse/elements/raw_fft0, -6.7531905, -2.7898862, -1.6605895, 0.18901016, -3.2280629, -8.992473, -5.832937, -7.0572424, -3.2588363, -5.5313106, -0.7233411, 0.9733331, 0.38770851, -5.992599, -6.7399163, -4.1732583, -12.334037, -8.7449255, -8.658772, -9.769383, -10.780048, -15.543081, -6.2028313, -5.71747, -3.5779984, -9.637362, -15.110353, -11.563982, -10.070685, -14.634819, -13.426497, -14.078111, -11.903714, -12.502375, -9.800447, -10.364103, -7.887718, -14.028738, -9.30919, -5.1522703, -8.375592, -11.0078535, -7.7862597, -12.824007, -10.070517, -13.73401, -10.643335, -8.709677, -5.8053765, -8.023104, -10.995135, -15.247962, -11.390564, -8.945039, -13.630876, -10.680596, -12.9027, -14.6186075, -13.45047, -17.014605, -15.277491, -10.346101, -12.926445, -16.831692, -13.240659, -16.75831, -21.213634, -16.553442, -22.68844, -29.42479, -29.71183, -31.421808, -25.218838, -20.366201, -20.168085, -20.4959, -19.86353, -16.585035, -17.638535, -19.58616, -13.712146, -12.632396, -22.242245, -17.368792, -13.142557, -13.902603, -14.467944, -13.999334, -17.039877, -18.260075, -14.190886, -14.503945, -12.160515, -11.615113, -13.136998, -16.628141, -16.631021, -15.020706, -16.820679, -15.850568, -13.7165785, -15.824275, -14.939021, -14.662722, -18.687168, -23.052938, -22.312325, -17.031147, -13.728785, -15.543001, -13.931722, -14.3520975, -16.57919, -18.482634, -16.731825, -14.788027, -21.082283, -20.177853, -22.130512, -27.17481, -27.79483, -20.388405, -23.626863, -18.888733, -21.035301, -27.633787, -23.99129, -28.692375, -29.36569
1459012046.729000, /muse/elements/raw_fft1, -9.032351, -2.3172047, 0.82088023, -4.8844204, -2.8594024, -6.860169, -9.753127, -6.7293787, -11.577699, -12.925503, -14.042249, -13.337231, -12.9981785, -12.7335415, -8.489073, -9.555921, -17.928888, -14.136941, -13.613341, -11.574456, -11.367004, -12.1978245, -12.583756, -19.19227, -16.862083, -16.511137, -12.139147, -12.926531, -12.988325, -10.156749, -14.394367, -15.741571, -14.022994, -10.146513, -7.6283855, -10.255505, -11.39691, -8.242796, -7.594341, -9.433875, -10.107525, -15.254444, -12.509851, -14.874159, -19.02111, -16.676987, -11.375271, -6.365576, -11.976459, -13.741295, -15.338791, -14.572748, -18.823395, -13.314036, -7.1204586, -12.919215, -14.783158, -15.505065, -11.683577, -16.07383, -12.902346, -18.792122, -17.676786, -18.135933, -18.74061, -22.721182, -25.65731, -21.116037, -22.303005, -29.676208, -31.686438, -29.217178, -23.99791, -22.125729, -26.249783, -27.310984, -19.935911, -20.753433, -20.661015, -21.913317, -19.129124, -13.819271, -15.668347, -14.92155, -15.314616, -9.708836, -10.008869, -18.443428, -19.685776, -15.755186, -15.529781, -14.24556, -11.436936, -15.553057, -22.612665, -27.15101, -18.627558, -14.890166, -16.257431, -14.212986, -14.602784, -11.92375, -14.195525, -27.726027, -19.320686, -18.098515, -19.969131, -11.575705, -10.272396, -14.194392, -15.59371, -20.88854, -17.212223, -15.913187, -21.233988, -26.76903, -17.5221, -12.17458, -15.05221, -19.17485, -20.419651, -18.056223, -22.275526, -19.901836, -20.605206, -28.542046, -21.73451, -22.433372, -23.232937
1459012046.730000, /muse/elements/raw_fft2, -17.262209, -11.225296, -4.0662246, -4.688965, -14.226001, -11.32858, -10.526595, -15.724527, -12.674202, -9.140635, -14.445289, -12.210832, -16.020582, -16.514908, -20.775131, -19.800575, -20.549337, -22.651724, -25.69801, -19.836887, -17.997103, -20.48894, -22.69954, -13.646055, -14.690168, -25.07955, -19.215681, -16.491903, -12.43248, -14.801266, -17.584007, -21.363161, -22.06942, -16.527924, -12.8489485, -19.93705, -19.768826, -17.52998, -16.585693, -15.324932, -15.824126, -19.823029, -18.858198, -15.329647, -21.160471, -22.687834, -18.089817, -16.08965, -21.424997, -16.168001, -18.87186, -21.872675, -25.380863, -22.04514, -19.027405, -22.403336, -26.024202, -24.648355, -22.13693, -23.366589, -21.953447, -24.381819, -21.834286, -21.96611, -24.998055, -22.847975, -28.596643, -25.173752, -29.51507, -29.22961, -33.62052, -36.728786, -31.614061, -22.93201, -22.141903, -20.353922, -22.444515, -19.283878, -21.134954, -25.117838, -21.103079, -18.70032, -19.846909, -20.367313, -23.169231, -19.688562, -19.417974, -21.403402, -19.112371, -17.785147, -27.452187, -22.728897, -20.889114, -25.635939, -25.639845, -20.74107, -22.887783, -18.482883, -22.214201, -26.069967, -26.355747, -22.95366, -26.498968, -29.014244, -29.02278, -30.94844, -24.212719, -21.437845, -21.883442, -24.362541, -26.782171, -25.611105, -25.893456, -31.296152, -27.725498, -24.505594, -30.417818, -30.43131, -25.759401, -29.112974, -31.901726, -32.725727, -27.858326, -25.818272, -31.045414, -31.38502, -32.227013, -24.99472, -23.363367
